dir,seg_name,status,matched_signals,fs,n_samples,output_path,error,elapsed_sec
mimic3wdb/1.0/30/3000126,3000126_0008,downloaded,ABP,125.0,1215000.0,downloaded_signals\3000126_0008.csv,,
mimic3wdb/1.0/30/3000126,3000126_0009,downloaded,ABP,125.0,3142500.0,downloaded_signals\3000126_0009.csv,,
mimic3wdb/1.0/30/3000126,3000126_0012,downloaded,ABP,125.0,6277500.0,downloaded_signals\3000126_0012.csv,,
mimic3wdb/1.0/30/3000126,3000126_0013,downloaded,ABP,125.0,8137500.0,downloaded_signals\3000126_0013.csv,,
mimic3wdb/1.0/30/3000189,3000189_0001,downloaded,ABP,125.0,1905000.0,downloaded_signals\3000189_0001.csv,,
mimic3wdb/1.0/30/3000189,3000189_0004,downloaded,ABP,125.0,2827500.0,downloaded_signals\3000189_0004.csv,,
mimic3wdb/1.0/30/3000189,3000189_0007,downloaded,ABP,125.0,89333.0,downloaded_signals\3000189_0007.csv,,
mimic3wdb/1.0/30/3000189,3000189_0008,downloaded,ABP,125.0,1746443.0,downloaded_signals\3000189_0008.csv,,
mimic3wdb/1.0/30/3000189,3000189_0009,downloaded,ABP,125.0,7853557.0,downloaded_signals\3000189_0009.csv,,
mimic3wdb/1.0/30/3000189,3000189_0010,downloaded,ABP,125.0,2527500.0,downloaded_signals\3000189_0010.csv,,
mimic3wdb/1.0/30/3000189,3000189_0011,downloaded,ABP,125.0,1672500.0,downloaded_signals\3000189_0011.csv,,
mimic3wdb/1.0/30/3000189,3000189_0012,downloaded,ABP,125.0,13830000.0,downloaded_signals\3000189_0012.csv,,
mimic3wdb/1.0/30/3000189,3000189_0014,downloaded,ABP,125.0,5722500.0,downloaded_signals\3000189_0014.csv,,
mimic3wdb/1.0/30/3000189,3000189_0015,downloaded,ABP,125.0,12690000.0,downloaded_signals\3000189_0015.csv,,
mimic3wdb/1.0/30/3000189,3000189_0017,downloaded,ABP,125.0,8797500.0,downloaded_signals\3000189_0017.csv,,
mimic3wdb/1.0/30/3000189,3000189_0019,downloaded,ABP,125.0,75000.0,downloaded_signals\3000189_0019.csv,,
mimic3wdb/1.0/30/3000189,3000189_0020,downloaded,ABP,125.0,2182500.0,downloaded_signals\3000189_0020.csv,,
mimic3wdb/1.0/30/3000189,3000189_0022,downloaded,ABP,125.0,3945000.0,downloaded_signals\3000189_0022.csv,,
mimic3wdb/1.0/30/3000282,3000282_0005,downloaded,ABP,125.0,7292669.0,downloaded_signals\3000282_0005.csv,,
mimic3wdb/1.0/30/3000393,3000393_0010,downloaded,ABP,125.0,619875.0,downloaded_signals\3000393_0010.csv,,35.0
mimic3wdb/1.0/30/3000282,3000282_0006,downloaded,ABP,125.0,2542500.0,downloaded_signals\3000282_0006.csv,,47.1
mimic3wdb/1.0/30/3000393,3000393_0013,downloaded,ABP,125.0,101250.0,downloaded_signals\3000393_0013.csv,,49.7
mimic3wdb/1.0/30/3000282,3000282_0008,downloaded,ABP,125.0,1680000.0,downloaded_signals\3000282_0008.csv,,56.5
mimic3wdb/1.0/30/3000393,3000393_0002,downloaded,ABP,125.0,113500.0,downloaded_signals\3000393_0002.csv,,149.1
mimic3wdb/1.0/30/3000393,3000393_0008,downloaded,ABP,125.0,1823125.0,downloaded_signals\3000393_0008.csv,,151.6
mimic3wdb/1.0/30/3000282,3000282_0007,downloaded,ABP,125.0,7507500.0,downloaded_signals\3000282_0007.csv,,154.3
mimic3wdb/1.0/30/3000393,3000393_0015,downloaded,ABP,125.0,358875.0,downloaded_signals\3000393_0015.csv,,133.5
mimic3wdb/1.0/30/3000393,3000393_0016,downloaded,ABP,125.0,72875.0,downloaded_signals\3000393_0016.csv,,124.1
mimic3wdb/1.0/30/3000393,3000393_0019,downloaded,ABP,125.0,600125.0,downloaded_signals\3000393_0019.csv,,151.2
mimic3wdb/1.0/30/3000393,3000393_0005,downloaded,ABP,125.0,2165875.0,downloaded_signals\3000393_0005.csv,,243.0
mimic3wdb/1.0/30/3000393,3000393_0023,downloaded,ABP,125.0,784875.0,downloaded_signals\3000393_0023.csv,,119.8
mimic3wdb/1.0/30/3000393,3000393_0025,downloaded,ABP,125.0,216375.0,downloaded_signals\3000393_0025.csv,,127.9
mimic3wdb/1.0/30/3000393,3000393_0020,downloaded,ABP,125.0,2321250.0,downloaded_signals\3000393_0020.csv,,249.0
mimic3wdb/1.0/30/3000393,3000393_0028,downloaded,ABP,125.0,1089500.0,downloaded_signals\3000393_0028.csv,,185.8
mimic3wdb/1.0/30/3000393,3000393_0031,downloaded,ABP,125.0,1535750.0,downloaded_signals\3000393_0031.csv,,212.4
mimic3wdb/1.0/30/3000393,3000393_0034,downloaded,ABP,125.0,1268375.0,downloaded_signals\3000393_0034.csv,,234.9
mimic3wdb/1.0/30/3000393,3000393_0036,downloaded,ABP,125.0,1114625.0,downloaded_signals\3000393_0036.csv,,233.2
mimic3wdb/1.0/30/3000397,3000397_0003,downloaded,ABP,125.0,2501535.0,downloaded_signals\3000397_0003.csv,,194.5
mimic3wdb/1.0/30/3000397,3000397_0007,downloaded,ABP,125.0,46125.0,downloaded_signals\3000397_0007.csv,,158.5
mimic3wdb/1.0/30/3000397,3000397_0006,downloaded,ABP,125.0,2281814.0,downloaded_signals\3000397_0006.csv,,186.6
mimic3wdb/1.0/30/3000397,3000397_0004,downloaded,ABP,125.0,6187264.0,downloaded_signals\3000397_0004.csv,,249.7
mimic3wdb/1.0/30/3000397,3000397_0010,downloaded,ABP,125.0,1107625.0,downloaded_signals\3000397_0010.csv,,144.6
mimic3wdb/1.0/30/3000397,3000397_0008,downloaded,ABP,125.0,5776250.0,downloaded_signals\3000397_0008.csv,,195.3
mimic3wdb/1.0/30/3000397,3000397_0012,downloaded,ABP,125.0,807625.0,downloaded_signals\3000397_0012.csv,,129.9
mimic3wdb/1.0/30/3000480,3000480_0012,downloaded,ABP,125.0,53000.0,downloaded_signals\3000480_0012.csv,,99.8
mimic3wdb/1.0/30/3000480,3000480_0013,downloaded,ABP,125.0,83125.0,downloaded_signals\3000480_0013.csv,,76.8
mimic3wdb/1.0/30/3000435,3000435_0002,downloaded,ABP,125.0,8159500.0,downloaded_signals\3000435_0002.csv,,206.2
mimic3wdb/1.0/30/3000484,3000484_0008,downloaded,ABP,125.0,3207375.0,downloaded_signals\3000484_0008.csv,,157.1
mimic3wdb/1.0/30/3000596,3000596_0002,downloaded,ABP,125.0,2151875.0,downloaded_signals\3000596_0002.csv,,170.8
mimic3wdb/1.0/30/3000701,3000701_0003,downloaded,ABP,125.0,467078.0,downloaded_signals\3000701_0003.csv,,164.7
mimic3wdb/1.0/30/3000714,3000714_0001,downloaded,ABP,125.0,1109250.0,downloaded_signals\3000714_0001.csv,,220.3
mimic3wdb/1.0/30/3000714,3000714_0004,downloaded,ABP,125.0,827250.0,downloaded_signals\3000714_0004.csv,,260.4
mimic3wdb/1.0/30/3000714,3000714_0009,downloaded,ABP,125.0,143875.0,downloaded_signals\3000714_0009.csv,,262.6
mimic3wdb/1.0/30/3000714,3000714_0010,downloaded,ABP,125.0,1647625.0,downloaded_signals\3000714_0010.csv,,264.1
mimic3wdb/1.0/30/3000714,3000714_0014,downloaded,ABP,125.0,52125.0,downloaded_signals\3000714_0014.csv,,275.3
mimic3wdb/1.0/30/3000480,3000480_0018,downloaded,ABP,125.0,8113375.0,downloaded_signals\3000480_0018.csv,,513.8
mimic3wdb/1.0/30/3000714,3000714_0016,downloaded,ABP,125.0,1728125.0,downloaded_signals\3000714_0016.csv,,376.8
mimic3wdb/1.0/30/3000714,3000714_0018,downloaded,ABP,125.0,865375.0,downloaded_signals\3000714_0018.csv,,374.8
mimic3wdb/1.0/30/3000714,3000714_0012,downloaded,ABP,125.0,3720250.0,downloaded_signals\3000714_0012.csv,,457.4
mimic3wdb/1.0/30/3000714,3000714_0024,downloaded,ABP,125.0,109625.0,downloaded_signals\3000714_0024.csv,,332.5
mimic3wdb/1.0/30/3000714,3000714_0032,downloaded,ABP,125.0,746250.0,downloaded_signals\3000714_0032.csv,,276.7
mimic3wdb/1.0/30/3000714,3000714_0020,downloaded,ABP,125.0,1022000.0,downloaded_signals\3000714_0020.csv,,388.7
mimic3wdb/1.0/30/3000714,3000714_0038,downloaded,ABP,125.0,610500.0,downloaded_signals\3000714_0038.csv,,242.5
mimic3wdb/1.0/30/3000717,3000717_0002,downloaded,ART,125.0,2940125.0,downloaded_signals\3000717_0002.csv,,172.2
mimic3wdb/1.0/30/3000717,3000717_0016,downloaded,ABP,125.0,73625.0,downloaded_signals\3000717_0016.csv,,128.8
mimic3wdb/1.0/30/3000717,3000717_0006,downloaded,ABP,125.0,1616125.0,downloaded_signals\3000717_0006.csv,,131.6
mimic3wdb/1.0/30/3000717,3000717_0021,downloaded,ABP,125.0,175535.0,downloaded_signals\3000717_0021.csv,,127.7
mimic3wdb/1.0/30/3000717,3000717_0023,downloaded,ABP,125.0,299125.0,downloaded_signals\3000717_0023.csv,,88.0
mimic3wdb/1.0/30/3000714,3000714_0035,downloaded,ABP,125.0,3283250.0,downloaded_signals\3000714_0035.csv,,410.4
mimic3wdb/1.0/30/3000717,3000717_0033,downloaded,ABP,125.0,395875.0,downloaded_signals\3000717_0033.csv,,160.4
mimic3wdb/1.0/30/3000717,3000717_0036,downloaded,ABP,125.0,359375.0,downloaded_signals\3000717_0036.csv,,138.8
mimic3wdb/1.0/30/3000717,3000717_0024,downloaded,ABP,125.0,11831250.0,downloaded_signals\3000717_0024.csv,,242.3
mimic3wdb/1.0/30/3000717,3000717_0040,downloaded,ABP,125.0,17359875.0,downloaded_signals\3000717_0040.csv,,294.1
mimic3wdb/1.0/30/3000717,3000717_0042,downloaded,ABP,125.0,2590157.0,downloaded_signals\3000717_0042.csv,,315.0
mimic3wdb/1.0/30/3000717,3000717_0041,downloaded,ABP,125.0,15842343.0,downloaded_signals\3000717_0041.csv,,320.4
mimic3wdb/1.0/30/3000717,3000717_0046,downloaded,ABP,125.0,3143000.0,downloaded_signals\3000717_0046.csv,,332.2
mimic3wdb/1.0/30/3000717,3000717_0053,downloaded,ABP,125.0,4132500.0,downloaded_signals\3000717_0053.csv,,254.2
mimic3wdb/1.0/30/3000717,3000717_0059,downloaded,ABP,125.0,4524500.0,downloaded_signals\3000717_0059.csv,,282.9
mimic3wdb/1.0/30/3000717,3000717_0068,downloaded,ABP,125.0,1467628.0,downloaded_signals\3000717_0068.csv,,252.0
mimic3wdb/1.0/30/3000717,3000717_0067,downloaded,ABP,125.0,6501872.0,downloaded_signals\3000717_0067.csv,,336.0
mimic3wdb/1.0/30/3000717,3000717_0072,downloaded,ABP,125.0,1077500.0,downloaded_signals\3000717_0072.csv,,155.0
mimic3wdb/1.0/30/3000717,3000717_0069,downloaded,ABP,125.0,11819750.0,downloaded_signals\3000717_0069.csv,,300.0
mimic3wdb/1.0/30/3000717,3000717_0077,downloaded,ABP,125.0,8062876.0,downloaded_signals\3000717_0077.csv,,274.6
mimic3wdb/1.0/30/3000781,3000781_0004,downloaded,ABP,125.0,68000.0,downloaded_signals\3000781_0004.csv,,244.1
mimic3wdb/1.0/30/3000717,3000717_0078,downloaded,ABP,125.0,5492374.0,downloaded_signals\3000717_0078.csv,,309.8
mimic3wdb/1.0/30/3000781,3000781_0003,downloaded,ABP,125.0,1495250.0,downloaded_signals\3000781_0003.csv,,281.7
mimic3wdb/1.0/30/3000847,3000847_0011,downloaded,ABP,125.0,70656.0,downloaded_signals\3000847_0011.csv,,194.8
mimic3wdb/1.0/30/3000847,3000847_0014,downloaded,ABP,125.0,450048.0,downloaded_signals\3000847_0014.csv,,192.2
mimic3wdb/1.0/30/3000847,3000847_0018,downloaded,ABP,125.0,75264.0,downloaded_signals\3000847_0018.csv,,70.2
mimic3wdb/1.0/30/3000847,3000847_0020,downloaded,ABP,125.0,40192.0,downloaded_signals\3000847_0020.csv,,69.0
mimic3wdb/1.0/30/3000847,3000847_0025,downloaded,ABP,125.0,86219.0,downloaded_signals\3000847_0025.csv,,18.1
mimic3wdb/1.0/30/3000847,3000847_0027,downloaded,ABP,125.0,53750.0,downloaded_signals\3000847_0027.csv,,17.5
mimic3wdb/1.0/30/3000847,3000847_0030,downloaded,ABP,125.0,86656.0,downloaded_signals\3000847_0030.csv,,14.5
mimic3wdb/1.0/30/3000847,3000847_0031,downloaded,ABP,125.0,107264.0,downloaded_signals\3000847_0031.csv,,15.6
mimic3wdb/1.0/30/3000847,3000847_0032,downloaded,ABP,125.0,2010240.0,downloaded_signals\3000847_0032.csv,,37.3
mimic3wdb/1.0/30/3000847,3000847_0033,downloaded,ABP,125.0,1558272.0,downloaded_signals\3000847_0033.csv,,57.4
mimic3wdb/1.0/30/3000847,3000847_0035,downloaded,ABP,125.0,2468096.0,downloaded_signals\3000847_0035.csv,,96.0
mimic3wdb/1.0/30/3000847,3000847_0036,downloaded,ABP,125.0,980992.0,downloaded_signals\3000847_0036.csv,,104.2
mimic3wdb/1.0/30/3000847,3000847_0039,downloaded,ABP,125.0,44544.0,downloaded_signals\3000847_0039.csv,,123.4
mimic3wdb/1.0/30/3000847,3000847_0038,downloaded,ABP,125.0,1845120.0,downloaded_signals\3000847_0038.csv,,127.5
mimic3wdb/1.0/30/3000847,3000847_0040,downloaded,ABP,125.0,881575.0,downloaded_signals\3000847_0040.csv,,134.7
mimic3wdb/1.0/30/3000847,3000847_0047,downloaded,ABP,125.0,67456.0,downloaded_signals\3000847_0047.csv,,87.8
mimic3wdb/1.0/30/3000781,3000781_0005,downloaded,ABP,125.0,3104125.0,downloaded_signals\3000781_0005.csv,,394.6
mimic3wdb/1.0/30/3000847,3000847_0048,downloaded,ABP,125.0,285696.0,downloaded_signals\3000847_0048.csv,,53.3
mimic3wdb/1.0/30/3000847,3000847_0049,downloaded,ABP,125.0,252416.0,downloaded_signals\3000847_0049.csv,,46.9
mimic3wdb/1.0/30/3000847,3000847_0050,downloaded,ABP,125.0,42543.0,downloaded_signals\3000847_0050.csv,,25.9
mimic3wdb/1.0/30/3000847,3000847_0054,downloaded,ABP,125.0,143199.0,downloaded_signals\3000847_0054.csv,,27.9
mimic3wdb/1.0/30/3000847,3000847_0057,downloaded,ABP,125.0,757376.0,downloaded_signals\3000847_0057.csv,,24.5
mimic3wdb/1.0/30/3000847,3000847_0058,downloaded,ABP,125.0,145280.0,downloaded_signals\3000847_0058.csv,,23.6
mimic3wdb/1.0/30/3000847,3000847_0060,downloaded,ABP,125.0,78464.0,downloaded_signals\3000847_0060.csv,,20.8
mimic3wdb/1.0/30/3000847,3000847_0042,downloaded,ABP,125.0,2855004.0,downloaded_signals\3000847_0042.csv,,141.3
mimic3wdb/1.0/30/3000847,3000847_0063,downloaded,ABP,125.0,2619776.0,downloaded_signals\3000847_0063.csv,,57.5
mimic3wdb/1.0/30/3000847,3000847_0067,downloaded,ABP,125.0,132233.0,downloaded_signals\3000847_0067.csv,,52.7
mimic3wdb/1.0/30/3000847,3000847_0068,downloaded,ABP,125.0,658560.0,downloaded_signals\3000847_0068.csv,,61.5
mimic3wdb/1.0/30/3000847,3000847_0071,downloaded,ABP,125.0,152576.0,downloaded_signals\3000847_0071.csv,,102.1
mimic3wdb/1.0/30/3000847,3000847_0072,downloaded,ABP,125.0,136448.0,downloaded_signals\3000847_0072.csv,,103.4
mimic3wdb/1.0/30/3000847,3000847_0069,downloaded,ABP,125.0,3778432.0,downloaded_signals\3000847_0069.csv,,105.9
mimic3wdb/1.0/30/3000847,3000847_0074,downloaded,ABP,125.0,341888.0,downloaded_signals\3000847_0074.csv,,100.2
mimic3wdb/1.0/30/3000847,3000847_0075,downloaded,ABP,125.0,194304.0,downloaded_signals\3000847_0075.csv,,75.4
mimic3wdb/1.0/30/3000847,3000847_0078,downloaded,ABP,125.0,285056.0,downloaded_signals\3000847_0078.csv,,78.7
mimic3wdb/1.0/30/3000847,3000847_0079,downloaded,ABP,125.0,288520.0,downloaded_signals\3000847_0079.csv,,72.5
mimic3wdb/1.0/30/3000847,3000847_0081,downloaded,ABP,125.0,660500.0,downloaded_signals\3000847_0081.csv,,31.3
mimic3wdb/1.0/30/3000847,3000847_0064,downloaded,ABP,125.0,8626859.0,downloaded_signals\3000847_0064.csv,,152.1
mimic3wdb/1.0/30/3000855,3000855_0013,downloaded,ABP,125.0,1214875.0,downloaded_signals\3000855_0013.csv,,45.5
mimic3wdb/1.0/30/3000860,3000860_0004,downloaded,ABP,125.0,547250.0,downloaded_signals\3000860_0004.csv,,69.6
mimic3wdb/1.0/30/3000847,3000847_0084,downloaded,ABP,125.0,4438500.0,downloaded_signals\3000847_0084.csv,,88.0
mimic3wdb/1.0/30/3000860,3000860_0010,downloaded,ABP,125.0,1081125.0,downloaded_signals\3000860_0010.csv,,134.2
mimic3wdb/1.0/30/3000960,3000960_0002,downloaded,ABP,125.0,148152.0,downloaded_signals\3000960_0002.csv,,130.1
mimic3wdb/1.0/30/3000960,3000960_0007,downloaded,ABP,125.0,196621.0,downloaded_signals\3000960_0007.csv,,123.0
mimic3wdb/1.0/30/3000960,3000960_0009,downloaded,ABP,125.0,38117.0,downloaded_signals\3000960_0009.csv,,120.8
mimic3wdb/1.0/30/3000960,3000960_0011,downloaded,ABP,125.0,1704023.0,downloaded_signals\3000960_0011.csv,,131.4
mimic3wdb/1.0/30/3000960,3000960_0013,downloaded,ABP,125.0,257152.0,downloaded_signals\3000960_0013.csv,,104.4
mimic3wdb/1.0/30/3000960,3000960_0014,downloaded,ABP,125.0,350603.0,downloaded_signals\3000960_0014.csv,,96.4
mimic3wdb/1.0/30/3000960,3000960_0015,downloaded,ABP,125.0,2529397.0,downloaded_signals\3000960_0015.csv,,69.8
mimic3wdb/1.0/30/3000960,3000960_0016,downloaded,ABP,125.0,2431103.0,downloaded_signals\3000960_0016.csv,,99.7
mimic3wdb/1.0/30/3000960,3000960_0018,downloaded,ABP,125.0,1422125.0,downloaded_signals\3000960_0018.csv,,114.3
mimic3wdb/1.0/30/3000960,3000960_0020,downloaded,ABP,125.0,484250.0,downloaded_signals\3000960_0020.csv,,115.9
mimic3wdb/1.0/30/3000860,3000860_0007,downloaded,ABP,125.0,3484500.0,downloaded_signals\3000860_0007.csv,,260.7
mimic3wdb/1.0/30/3000983,3000983_0001,downloaded,ABP,125.0,727375.0,downloaded_signals\3000983_0001.csv,,129.8
mimic3wdb/1.0/30/3000989,3000989_0014,downloaded,ABP,125.0,555875.0,downloaded_signals\3000989_0014.csv,,31.1
mimic3wdb/1.0/30/3000989,3000989_0022,downloaded,ABP,125.0,5975750.0,downloaded_signals\3000989_0022.csv,,290.8
mimic3wdb/1.0/30/3000989,3000989_0002,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3000989,3000989_0004,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3000989,3000989_0006,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3000989,3000989_0008,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3000989,3000989_0009,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3000989,3000989_0010,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3000989,3000989_0012,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3000989,3000989_0017,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3000989,3000989_0019,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3000989,3000989_0025,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3000989,3000989_0028,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3001099,3001099_0003,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3001099,3001099_0008,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3001099,3001099_0010,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3001099,3001099_0012,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3001099,3001099_0014,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3001099,3001099_0015,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3001099,3001099_0017,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3001158,3001158_0005,timeout_skipped,,,,,"exceeded 300s timeout, ignored",>300
mimic3wdb/1.0/30/3001158,3001158_0007,downloaded,ART,125.0,2800500.0,downloaded_signals\3001158_0007.csv,,108.3
mimic3wdb/1.0/30/3001158,3001158_0009,downloaded,ART,125.0,352250.0,downloaded_signals\3001158_0009.csv,,14.3
mimic3wdb/1.0/30/3001202,3001202_0017,downloaded,ABP,125.0,1029000.0,downloaded_signals\3001202_0017.csv,,12.1
mimic3wdb/1.0/30/3001203,3001203_0002,downloaded,ABP,125.0,52000.0,downloaded_signals\3001203_0002.csv,,2.7
mimic3wdb/1.0/30/3001203,3001203_0006,downloaded,ABP,125.0,47000.0,downloaded_signals\3001203_0006.csv,,2.2
mimic3wdb/1.0/30/3001203,3001203_0007,downloaded,ABP,125.0,189875.0,downloaded_signals\3001203_0007.csv,,8.4
mimic3wdb/1.0/30/3001203,3001203_0010,downloaded,ABP,125.0,1228875.0,downloaded_signals\3001203_0010.csv,,46.0
mimic3wdb/1.0/30/3001203,3001203_0013,downloaded,ABP,125.0,329500.0,downloaded_signals\3001203_0013.csv,,13.0
mimic3wdb/1.0/30/3001203,3001203_0015,downloaded,ABP,125.0,4094250.0,downloaded_signals\3001203_0015.csv,,147.5
mimic3wdb/1.0/30/3001203,3001203_0018,downloaded,ABP,125.0,4688875.0,downloaded_signals\3001203_0018.csv,,175.2
mimic3wdb/1.0/30/3001203,3001203_0019,downloaded,ABP,125.0,66125.0,downloaded_signals\3001203_0019.csv,,3.1
mimic3wdb/1.0/30/3001203,3001203_0020,downloaded,ABP,125.0,505250.0,downloaded_signals\3001203_0020.csv,,18.7
mimic3wdb/1.0/30/3001203,3001203_0022,downloaded,ABP,125.0,531875.0,downloaded_signals\3001203_0022.csv,,21.2
mimic3wdb/1.0/30/3001203,3001203_0025,downloaded,ABP,125.0,944000.0,downloaded_signals\3001203_0025.csv,,38.2
mimic3wdb/1.0/30/3001203,3001203_0028,downloaded,ABP,125.0,1626500.0,downloaded_signals\3001203_0028.csv,,98.8
mimic3wdb/1.0/30/3001203,3001203_0031,downloaded,ABP,125.0,656375.0,downloaded_signals\3001203_0031.csv,,28.9
mimic3wdb/1.0/30/3001203,3001203_0033,downloaded,ABP,125.0,212875.0,downloaded_signals\3001203_0033.csv,,10.6
mimic3wdb/1.0/30/3001203,3001203_0036,downloaded,ABP,125.0,1527625.0,downloaded_signals\3001203_0036.csv,,61.8
mimic3wdb/1.0/30/3001203,3001203_0039,downloaded,ABP,125.0,336000.0,downloaded_signals\3001203_0039.csv,,15.7
mimic3wdb/1.0/30/3001203,3001203_0041,downloaded,ABP,125.0,401250.0,downloaded_signals\3001203_0041.csv,,23.2
mimic3wdb/1.0/30/3001203,3001203_0044,downloaded,ABP,125.0,2744500.0,downloaded_signals\3001203_0044.csv,,121.2
mimic3wdb/1.0/30/3001203,3001203_0048,downloaded,ABP,125.0,622750.0,downloaded_signals\3001203_0048.csv,,32.4
mimic3wdb/1.0/30/3001203,3001203_0049,downloaded,ABP,125.0,126000.0,downloaded_signals\3001203_0049.csv,,5.4
mimic3wdb/1.0/30/3001203,3001203_0050,downloaded,ABP,125.0,2262000.0,downloaded_signals\3001203_0050.csv,,109.0
